DEZE GEGEVENS MOGEN VRIJ WORDEN GEBRUIKT MITS DE VOLGENDE BRONVERMELDING WORDT GEGEVEN:
KONINKLIJK NEDERLANDS METEOROLOGISCH INSTITUUT (KNMI)

THESE DATA CAN BE USED FREELY PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED:
ROYAL NETHERLANDS METEOROLOGICAL INSTITUTE

STN      = stationsnummer/stationnumber
YYYYMMDD = datum/date (YYYY=jaar/year MM=maand/month DD=dag/day)
RD       = 24-uur som van de neerslag in tiende millimeters van 08.00 voorafgaande dag- 08.00 UTC huidige dag/
           daily precipitation amount in 0.1 mm over the period 08.00 preceding day - 08.00 UTC present day
SX       = codecijfer sneeuwdek om 08.00 uur UTC/code for the snow cover at 08.00 UTC:

           codecijfer/code    sneeuwdikte/snow cover
           1                                    1 cm
           ...                                   ...
           996                                996 cm

           997 gebroken sneeuwdek/broken snow cover < 1 cm
           998 gebroken sneeuwdek/broken snow cover >=1 cm
           999 sneeuwhopen/snow dunes

5 spaties betekent een ontbrekende waarde/5 spaces represents a missing value

STN,YYYYMMDD,   RD,   SX,
831,19040819,   30,     ,
831,19040820,   20,     ,
831,19040821,    0,     ,
831,19040822,    0,     ,
831,19040823,   20,     ,
831,19040824,    0,     ,
831,19040825,    0,     ,
831,19040826,    0,     ,
831,19040827,    0,     ,
831,19040828,    0,     ,
831,19040829,    0,     ,
831,19040830,    0,     ,
831,19040831,   20,     ,
831,19040901,    0,     ,
831,19040902,    0,     ,
831,19040903,   42,     ,
831,19040904,   26,     ,
831,19040905,    0,     ,
831,19040906,    0,     ,
831,19040907,    6,     ,
831,19040908,    4,     ,
831,19040909,    0,     ,
831,19040910,   23,     ,
831,19040911,    0,     ,
831,19040912,    0,     ,
831,19040913,   24,     ,
831,19040914,  188,     ,
831,19040915,   48,     ,
831,19040916,    5,     ,
831,19040917,    0,     ,
831,19040918,    0,     ,
831,19040919,    0,     ,
831,19040920,    0,     ,
831,19040921,    0,     ,
831,19040922,    0,     ,
831,19040923,    0,     ,
831,19040924,    0,     ,
831,19040925,  124,     ,
831,19040926,    0,     ,
831,19040927,    0,     ,
831,19040928,    0,     ,
831,19040929,   15,     ,
831,19040930,    3,     ,
831,19041001,    0,     ,
831,19041002,   47,     ,
831,19041003,    0,     ,
831,19041004,    0,     ,
831,19041005,    0,     ,
831,19041006,   41,     ,
831,19041007,   38,     ,
831,19041008,  116,     ,
831,19041009,  128,     ,
831,19041010,    0,     ,
831,19041011,    0,     ,
831,19041012,    0,     ,
831,19041013,    0,     ,
831,19041014,    0,     ,
831,19041015,    0,     ,
831,19041016,    0,     ,
831,19041017,    0,     ,
831,19041018,   39,     ,
831,19041019,    0,     ,
831,19041020,    0,     ,
831,19041021,    0,     ,
831,19041022,    0,     ,
831,19041023,    0,     ,
831,19041024,    0,     ,
831,19041025,    0,     ,
831,19041026,    0,     ,
831,19041027,   26,     ,
831,19041028,    0,     ,
831,19041029,    0,     ,
831,19041030,    0,     ,
831,19041031,    0,     ,
831,19041101,    0,     ,
831,19041102,    0,     ,
831,19041103,    0,     ,
831,19041104,    0,     ,
831,19041105,    0,     ,
831,19041106,    0,     ,
831,19041107,   30,     ,
831,19041108,   34,     ,
831,19041109,   96,     ,
831,19041110,  180,     ,
831,19041111,    0,     ,
831,19041112,    0,     ,
831,19041113,    0,     ,
831,19041114,    0,     ,
831,19041115,    0,     ,
831,19041116,    0,     ,
831,19041117,    0,     ,
831,19041118,    0,     ,
831,19041119,    0,     ,
831,19041120,   10,     ,
831,19041121,    0,     ,
831,19041122,  100,     ,
831,19041123,   40,     ,
831,19041124,    0,     ,
831,19041125,   10,     ,
831,19041126,   16,     ,
831,19041127,    0,     ,
831,19041128,    0,     ,
831,19041129,    0,     ,
831,19041130,   20,     ,
831,19041201,    0,     ,
831,19041202,    0,     ,
831,19041203,    0,     ,
831,19041204,    0,     ,
831,19041205,   13,     ,
831,19041206,   39,     ,
831,19041207,  110,     ,
831,19041208,  160,     ,
831,19041209,   15,     ,
831,19041210,   20,     ,
831,19041211,    0,     ,
831,19041212,   20,     ,
831,19041213,  140,     ,
831,19041214,    0,     ,
831,19041215,   10,     ,
831,19041216,    0,     ,
831,19041217,   20,     ,
831,19041218,    0,     ,
831,19041219,    5,     ,
831,19041220,    0,     ,
831,19041221,    0,     ,
831,19041222,    0,     ,
831,19041223,    0,     ,
831,19041224,    0,     ,
831,19041225,    0,     ,
831,19041226,    0,     ,
831,19041227,    0,     ,
831,19041228,    0,     ,
831,19041229,   10,     ,
831,19041230,    5,     ,
831,19041231,   90,     ,
831,19050101,   10,     ,
831,19050102,    0,     ,
831,19050103,    0,     ,
831,19050104,    0,     ,
831,19050105,   63,     ,
831,19050106,    0,     ,
831,19050107,   47,     ,
831,19050108,    0,     ,
831,19050109,    0,     ,
831,19050110,   38,     ,
831,19050111,    0,     ,
831,19050112,    0,     ,
831,19050113,    0,     ,
831,19050114,    0,     ,
831,19050115,    0,     ,
831,19050116,    0,     ,
831,19050117,   25,     ,
831,19050118,   34,     ,
831,19050119,    0,     ,
831,19050120,    0,     ,
831,19050121,    0,     ,
831,19050122,    0,     ,
831,19050123,    0,     ,
831,19050124,    0,     ,
831,19050125,    5,     ,
831,19050126,    0,     ,
831,19050127,    0,     ,
831,19050128,    0,     ,
831,19050129,   10,     ,
831,19050130,   10,     ,
831,19050131,   30,     ,
831,19050201,    0,     ,
831,19050202,    0,     ,
831,19050203,    0,     ,
831,19050204,    2,     ,
831,19050205,   21,     ,
831,19050206,    0,     ,
831,19050207,   45,     ,
831,19050208,    0,     ,
831,19050209,    0,     ,
831,19050210,   42,     ,
831,19050211,   10,     ,
831,19050212,    8,     ,
831,19050213,   12,     ,
831,19050214,    5,     ,
831,19050215,   10,     ,
831,19050216,   10,     ,
831,19050217,   11,     ,
831,19050218,   34,     ,
831,19050219,   28,     ,
831,19050220,   10,     ,
831,19050221,    0,     ,
831,19050222,    0,     ,
831,19050223,    0,     ,
831,19050224,    0,     ,
831,19050225,    0,     ,
831,19050226,   10,     ,
831,19050227,   65,     ,
831,19050228,    3,     ,
831,19050301,   10,     ,
831,19050302,    0,     ,
831,19050303,    7,     ,
831,19050304,    0,     ,
831,19050305,    0,     ,
831,19050306,   45,     ,
831,19050307,   47,     ,
831,19050308,    7,     ,
831,19050309,   97,     ,
831,19050310,  103,     ,
831,19050311,   17,     ,
831,19050312,    2,     ,
831,19050313,   32,     ,
831,19050314,   23,     ,
831,19050315,   62,     ,
831,19050316,    5,     ,
831,19050317,   45,     ,
831,19050318,    0,     ,
831,19050319,    0,     ,
831,19050320,    0,     ,
831,19050321,    0,     ,
831,19050322,    0,     ,
831,19050323,    0,     ,
831,19050324,  112,     ,
831,19050325,   47,     ,
831,19050326,    7,     ,
831,19050327,   63,     ,
831,19050328,    0,     ,
831,19050329,    5,     ,
831,19050330,   55,     ,
831,19050331,    0,     ,
831,19050401,    0,     ,
831,19050402,   29,     ,
831,19050403,    0,     ,
831,19050404,   33,     ,
831,19050405,   51,     ,
831,19050406,    6,     ,
831,19050407,  100,     ,
831,19050408,    3,     ,
831,19050409,   15,     ,
831,19050410,   67,     ,
831,19050411,    0,     ,
831,19050412,    0,     ,
831,19050413,    0,     ,
831,19050414,    0,     ,
831,19050415,    8,     ,
831,19050416,    0,     ,
831,19050417,    0,     ,
831,19050418,    0,     ,
831,19050419,    0,     ,
831,19050420,    0,     ,
831,19050421,    0,     ,
831,19050422,   31,     ,
831,19050423,   23,     ,
831,19050424,   38,     ,
831,19050425,    6,     ,
831,19050426,    8,     ,
831,19050427,    6,     ,
831,19050428,    0,     ,
831,19050429,   12,     ,
831,19050430,    3,     ,
831,19050501,    0,     ,
831,19050502,   29,     ,
831,19050503,   12,     ,
831,19050504,   38,     ,
831,19050505,    0,     ,
831,19050506,    0,     ,
831,19050507,    0,     ,
831,19050508,   36,     ,
831,19050509,   44,     ,
831,19050510,    0,     ,
831,19050511,    2,     ,
831,19050512,    0,     ,
831,19050513,    0,     ,
831,19050514,    0,     ,
831,19050515,    0,     ,
831,19050516,    0,     ,
831,19050517,    0,     ,
831,19050518,    0,     ,
831,19050519,    7,     ,
831,19050520,   18,     ,
831,19050521,    2,     ,
831,19050522,    0,     ,
831,19050523,   13,     ,
831,19050524,    0,     ,
831,19050525,    0,     ,
831,19050526,    0,     ,
831,19050527,    0,     ,
831,19050528,    0,     ,
831,19050529,    0,     ,
831,19050530,    0,     ,
831,19050531,    0,     ,
831,19050601,   14,     ,
831,19050602,    0,     ,
831,19050603,    0,     ,
831,19050604,   95,     ,
831,19050605,    0,     ,
831,19050606,    0,     ,
831,19050607,    0,     ,
831,19050608,  312,     ,
831,19050609,   64,     ,
831,19050610,   52,     ,
831,19050611,    8,     ,
831,19050612,    0,     ,
831,19050613,    0,     ,
831,19050614,    0,     ,
831,19050615,    0,     ,
831,19050616,    0,     ,
831,19050617,    0,     ,
831,19050618,   74,     ,
831,19050619,    0,     ,
831,19050620,   21,     ,
831,19050621,    0,     ,
831,19050622,    0,     ,
831,19050623,    0,     ,
831,19050624,    0,     ,
831,19050625,   13,     ,
831,19050626,  393,     ,
831,19050627,   24,     ,
831,19050628,   12,     ,
831,19050629,    0,     ,
831,19050630,    6,     ,
831,19050701,  107,     ,
831,19050702,    0,     ,
831,19050703,   97,     ,
831,19050704,    0,     ,
831,19050705,  148,     ,
831,19050706,    0,     ,
831,19050707,   13,     ,
